"","idMvt","conf","xsaisi","ysaisi","epsg","num_insee","commune","lieu_dit","typeMvt","libelleType","fiabiliteType","libelleFiabilite","PrecDate","libelleDate","prec_xy","libellePrec","longitudeDoublePrec","latitudeDoublePrec","NUM_POSTE","NOM_USUEL","LAT","LON","ALTI","AAAAMM","RR","QRR","NBRR","RR_ME","RRAB","QRRAB","RRABDAT","NBJRR1","NBJRR5","NBJRR10","NBJRR30","NBJRR50","NBJRR100","PMERM","QPMERM","NBPMERM","PMERMINAB","QPMERMINAB","PMERMINABDAT","TX","QTX","NBTX","TX_ME","TXAB","QTXAB","TXDAT","TXMIN","QTXMIN","TXMINDAT","NBJTX0","NBJTX25","NBJTX30","NBJTX35","NBJTXI20","NBJTXI27","NBJTXS32","TN","QTN","NBTN","TN_ME","TNAB","QTNAB","TNDAT","TNMAX","QTNMAX","TNMAXDAT","NBJTN5","NBJTN10","NBJTNI10","NBJTNI15","NBJTNI20","NBJTNS20","NBJTNS25","NBJGELEE","TAMPLIM","QTAMPLIM","TAMPLIAB","QTAMPLIAB","TAMPLIABDAT","NBTAMPLI","TM","QTM","NBTM","TMM","QTMM","NBTMM","NBJTMS24","TMMIN","QTMMIN","TMMINDAT","TMMAX","QTMMAX","TMMAXDAT","UNAB","QUNAB","UNABDAT","NBUN","UXAB","QUXAB","UXABDAT","NBUX","UMM","QUMM","NBUM","TSVM","QTSVM","NBTSVM","ETP","QETP","FXIAB","QFXIAB","DXIAB","QDXIAB","FXIDAT","NBJFF10","NBJFF16","NBJFF28","NBFXI","FXI3SAB","QFXI3SAB","DXI3SAB","QDXI3SAB","FXI3SDAT","NBJFXI3S10","NBJFXI3S16","NBJFXI3S28","NBFXI3S","FXYAB","QFXYAB","DXYAB","QDXYAB","FXYABDAT","NBJFXY8","NBJFXY10","NBJFXY15","NBFXY","FFM","QFFM","NBFFM","INST","QINST","NBINST","NBSIGMA0","NBSIGMA20","NBSIGMA80","GLOT","QGLOT","NBGLOT","DIFT","QDIFT","NBDIFT","DIRT","QDIRT","NBDIRT","HNEIGEFTOT","QHNEIGEFTOT","HNEIGEFAB","QHNEIGEFAB","HNEIGEFDAT","NBHNEIGEF","NBJNEIG","NBJHNEIGEF1","NBJHNEIGEF5","NBJHNEIGEF10","NBJSOLNG","NEIGETOTM","QNEIGETOTM","NEIGETOTAB","QNEIGETOTAB","NEIGETOTABDAT","NBJNEIGETOT1","NBJNEIGETOT10","NBJNEIGETOT30","NBJGREL","NBJORAG","NBJBROU"
"408",12200118,"",928977,2063031.00585938,27572,73181,"MOUTIERS","""Mont-Galgan"" sur la RN6.",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.54622039894763,45.4884145245324,1407001,"SEYSSEL",45.953333,5.824,285,199712,149,1,31,NA,32,1,19,15,9,5,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"409",12200116,"",926843.3,2063847.16796875,27572,73003,"AIGUEBLANCHE","",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.51951997257988,45.4967693510916,1407001,"SEYSSEL",45.953333,5.824,285,199710,82.5,1,31,NA,28,1,10,8,6,4,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"410",12200115,"",872721.8,2104086.9140625,27572,73286,"SERRIERES-EN-CHAUTAGNE","""Marete""",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",5.85088802186352,45.8821899879599,1407001,"SEYSSEL",45.953333,5.824,285,199708,43.6,1,31,NA,25,1,28,4,2,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"412",50002415,"",921067,2087659,27572,73211,"QUEIGE","LA VILLE",2,"Chute de blocs / Eboulement",2,"Moyen",3,"Saison",5,"Commune",6.46171165166569,45.7134389881181,1010001,"ANGLEFORT",45.9,5.766667,280,198103,195.2,1,31,NA,33.7,1,3,17,11,5,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"413",50001837,"",946099.975585938,2083300.04882812,27572,73054,"BOURG-SAINT-MAURICE","CD 902  LES GLINETTES",2,"Chute de blocs / Eboulement",2,"Moyen",3,"Saison",5,"Commune",6.77952086306457,45.6620135469738,1143001,"DIVONNE",46.376667,6.156667,488,198503,103.4,1,31,NA,23.1,1,4,13,6,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
"414",12200114,"",905914.9,2075931.39648438,27572,73162,"MONTAILLEUR","",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.25985253125158,45.6150495069147,1407001,"SEYSSEL",45.953333,5.824,285,199707,94.6,1,31,NA,15.5,1,3,11,7,4,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"415",12200112,"",872791.5,2105474.36523437,27572,73286,"SERRIERES-EN-CHAUTAGNE","""Venaise-dessus""",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",5.85258770689414,45.8946279761514,1407001,"SEYSSEL",45.953333,5.824,285,199705,141,1,31,NA,31,1,6,13,8,5,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
"416",12200111,"",925018.9,2053939.94140625,27572,73244,"SAINT-JEAN-DE-BELLEVILLE","""Le Pont de la Combe"" sur la RD117.",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.48952778043661,45.408638894006,1407001,"SEYSSEL",45.953333,5.824,285,199705,141,1,31,NA,31,1,6,13,8,5,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
"417",12200110,"",884306.4,2071296.38671875,27572,73243,"SAINT-JEAN-D'ARVEY","""Le Bout du Monde""",2,"Chute de blocs / Eboulement",1,"Fort",2,"Mois",3,"Hectomètre",5.98037920619823,45.5827431061592,1034001,"BELLEY MAN",45.755,5.686667,277,199703,8.4,1,31,NA,5.6,1,19,3,1,0,0,0,0,NA,NA,0,NA,NA,NA,16.6,1,31,NA,22.8,1,4,9,1,19,0,0,0,0,26,31,0,4.2,1,31,NA,0,1,21,10,1,28,0,0,31,31,31,0,0,1,12.3,1,17.4,1,4,31,10.4,1,31,NA,NA,0,NA,7,1,20,14.1,1,4,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"418",12200109,"",894793.5,2068040.77148437,27572,73247,"SAINT-JEAN-DE-LA-PORTE","Montlambert",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.11259408815507,45.5490412000328,1034001,"BELLEY MAN",45.755,5.686667,277,199701,83.7,1,31,NA,36.7,1,19,6,5,3,1,0,0,NA,NA,0,NA,NA,NA,4.8,1,31,NA,11.8,1,24,-1.8,1,1,2,0,0,0,31,31,0,-0.1,1,31,NA,-6.2,1,3,5.2,1,21,1,0,31,31,31,0,0,19,4.9,1,10.2,1,16,31,2.4,1,31,NA,NA,0,NA,-2.9,1,3,8.4,1,24,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
"419",50002424,"",921067,2087659,27572,73211,"QUEIGE","CD 9 , EN BAS DU ""MIRANTIN""",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.46171165166569,45.7134389881181,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,192202,131,9,28,NA,30,9,9,7,7,7,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",12200108,"",897333.8,2072052.00195313,27572,73270,"SAINT-PIERRE-D'ALBIGNY","route du col du Frêne.",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.14756725539359,45.5839815329199,1407001,"SEYSSEL",45.953333,5.824,285,199703,12.3,1,31,NA,11,1,19,2,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"421",12200107,"",920306.8,2086902.58789062,27572,73211,"QUEIGE","""Marolland""",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.45145681369954,45.7070050585918,1407001,"SEYSSEL",45.953333,5.824,285,199701,79.8,1,31,NA,33,1,19,7,3,3,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"422",50001830,"",944982,2087145,27572,73054,"BOURG-SAINT-MAURICE","RN 90 VERS ORBASSY",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.76797876832393,45.6971177938721,1143001,"DIVONNE",46.376667,6.156667,488,198804,43.7,1,30,NA,11.4,1,12,9,4,1,0,0,0,NA,NA,0,NA,NA,NA,13.6,1,30,NA,21,1,22,7,1,1,0,0,0,0,29,30,0,4.9,1,30,NA,-2,1,2,10,1,20,0,0,30,30,30,0,0,1,8.7,1,16,1,22,30,9.2,1,30,NA,NA,0,NA,4,1,2,13.5,1,19,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"423",50002402,"",944894,2048661,27572,73206,"PRALOGNAN-LA-VANOISE","FORET COMMUNALE",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.73919377069585,45.3514941510436,1160001,"FERNEY-VOLTAIRE",46.255,6.108333,435,196204,56.7,1,30,NA,17,1,3,7,5,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"424",12200106,"",926818.8,2064395.26367188,27572,73003,"AIGUEBLANCHE","",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.51958623948559,45.5017038228187,1407001,"SEYSSEL",45.953333,5.824,285,199701,79.8,1,31,NA,33,1,19,7,3,3,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"428",50002766,"",898172,2071542,27572,73270,"SAINT-PIERRE-D'ALBIGNY","FORET COMMUNALE",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.15797375116854,45.5790329178027,1034001,"BELLEY MAN",45.755,5.686667,277,197903,183.7,1,31,NA,34.2,1,25,17,11,8,1,0,0,NA,NA,0,NA,NA,NA,12.3,1,31,NA,18.8,1,24,7,1,20,0,0,0,0,31,31,0,4.8,1,31,NA,-3,1,2,9.8,1,26,0,0,31,31,31,0,0,2,7.5,1,15.2,1,9,31,8.5,1,31,NA,NA,0,NA,3.6,1,2,13.6,1,26,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"429",50002700,"",926000,2031199.95117188,27572,73261,"SAINT-MICHEL-DE-MAURIENNE","LA SAUSSAZ",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.48671370370212,45.2038923611853,1034001,"BELLEY MAN",45.755,5.686667,277,196010,180.9,1,31,NA,41,1,20,16,11,7,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",22300008,"C",926721.008300781,2067604.98046875,27562,73003,"AIGUEBLANCHE","AIGUEBLANCHE",2,"Chute de blocs / Eboulement",1,"Fort",2,"Mois",5,"Commune",6.52051894493402,45.5305880248989,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,190104,60.3,9,30,NA,40,9,7,5,3,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",12200051,"",946931.4,2074562.01171875,27572,73054,"BOURG-SAINT-MAURICE","",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.78382665915523,45.5831052065407,1143001,"DIVONNE",46.376667,6.156667,488,199404,137.7,1,30,NA,24,1,7,15,8,6,0,0,0,NA,NA,0,NA,NA,NA,12.2,1,30,NA,25,1,30,5,1,7,0,1,0,0,27,30,0,3.9,1,30,NA,-1.5,1,7,9.5,1,30,0,0,30,30,30,0,0,3,8.3,1,15.5,1,30,30,8,1,30,NA,NA,0,NA,1.8,1,7,17.3,1,30,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"432",22300009,"C",927000,2063899.90234375,27562,73003,"AIGUEBLANCHE","PONT SERAN",2,"Chute de blocs / Eboulement",1,"Fort",2,"Mois",3,"Hectomètre",6.5215615582824,45.4971703399769,1010001,"ANGLEFORT",45.9,5.766667,280,197902,171.9,1,28,NA,33,1,4,16,10,7,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"433",50002690,"",923144,2037702,27572,73258,"SAINT-MARTIN-DE-LA-PORTE","TORRENT DU RIEU-SEC ; RN 6",2,"Chute de blocs / Eboulement",2,"Moyen",7,">100 ans",5,"Commune",6.45475427030483,45.2636519319763,1034001,"BELLEY MAN",45.755,5.686667,277,195306,237.7,1,30,NA,44.7,1,8,15,12,9,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
